Sexo;Titulación;Sueldo mensual neto en 2019;Total
Ambos sexos;Financiera y actuarial;De 2.000 a 2.499 euros;19,5
Ambos sexos;Financiera y actuarial;De 2.500 a 2.999 euros;19,8
Ambos sexos;Financiera y actuarial;De 3.000 euros en adelante;5,2
Ambos sexos;Finanzas y contabilidad;Menos de 700 euros;2,9
Ambos sexos;Finanzas y contabilidad;De 700 a 999 euros;8,8
Ambos sexos;Finanzas y contabilidad;De 1.000 a 1.499 euros;49,1
Ambos sexos;Finanzas y contabilidad;De 1.500 a 1.999 euros;33,2
Ambos sexos;Finanzas y contabilidad;De 2.000 a 2.499 euros;4,3
Ambos sexos;Finanzas y contabilidad;De 2.500 a 2.999 euros;1,8
Ambos sexos;Finanzas y contabilidad;De 3.000 euros en adelante;0,0
Ambos sexos;Administración y empresa;Menos de 700 euros;4,0
Ambos sexos;Administración y empresa;De 700 a 999 euros;6,5
Ambos sexos;Administración y empresa;De 1.000 a 1.499 euros;34,6
Ambos sexos;Administración y empresa;De 1.500 a 1.999 euros;28,2
Ambos sexos;Administración y empresa;De 2.000 a 2.499 euros;13,3
Ambos sexos;Administración y empresa;De 2.500 a 2.999 euros;7,0
Ambos sexos;Administración y empresa;De 3.000 euros en adelante;6,4
Ambos sexos;Ciencias del trabajo;Menos de 700 euros;7,1
Ambos sexos;Ciencias del trabajo;De 700 a 999 euros;10,6
Ambos sexos;Ciencias del trabajo;De 1.000 a 1.499 euros;41,8
Ambos sexos;Ciencias del trabajo;De 1.500 a 1.999 euros;23,3
Ambos sexos;Ciencias del trabajo;De 2.000 a 2.499 euros;10,2
Ambos sexos;Ciencias del trabajo;De 2.500 a 2.999 euros;1,8
Ambos sexos;Ciencias del trabajo;De 3.000 euros en adelante;5,2
Ambos sexos;Gestión y administración pública;Menos de 700 euros;12,8
Ambos sexos;Gestión y administración pública;De 700 a 999 euros;13,2
Ambos sexos;Gestión y administración pública;De 1.000 a 1.499 euros;46,7
Ambos sexos;Gestión y administración pública;De 1.500 a 1.999 euros;20,6
Ambos sexos;Gestión y administración pública;De 2.000 a 2.499 euros;3,8
Ambos sexos;Gestión y administración pública;De 2.500 a 2.999 euros;2,3
Ambos sexos;Gestión y administración pública;De 3.000 euros en adelante;0,5
Ambos sexos;Marketing;Menos de 700 euros;6,2
Ambos sexos;Marketing;De 700 a 999 euros;5,9
Ambos sexos;Marketing;De 1.000 a 1.499 euros;18,9
Ambos sexos;Marketing;De 1.500 a 1.999 euros;39,5
Ambos sexos;Marketing;De 2.000 a 2.499 euros;15,3
Ambos sexos;Marketing;De 2.500 a 2.999 euros;10,6
Ambos sexos;Marketing;De 3.000 euros en adelante;3,6
Ambos sexos;Protocolo y eventos;Menos de 700 euros;6,3
Ambos sexos;Protocolo y eventos;De 700 a 999 euros;4,4
Ambos sexos;Protocolo y eventos;De 1.000 a 1.499 euros;51,2
Ambos sexos;Protocolo y eventos;De 1.500 a 1.999 euros;25,0
Ambos sexos;Protocolo y eventos;De 2.000 a 2.499 euros;13,1
Ambos sexos;Protocolo y eventos;De 2.500 a 2.999 euros;0,0
Ambos sexos;Protocolo y eventos;De 3.000 euros en adelante;0,0
Ambos sexos;Publicidad y relaciones públicas;Menos de 700 euros;6,3
Ambos sexos;Publicidad y relaciones públicas;De 700 a 999 euros;8,6
Ambos sexos;Publicidad y relaciones públicas;De 1.000 a 1.499 euros;42,5
Ambos sexos;Publicidad y relaciones públicas;De 1.500 a 1.999 euros;28,0
Ambos sexos;Publicidad y relaciones públicas;De 2.000 a 2.499 euros;8,9
Ambos sexos;Publicidad y relaciones públicas;De 2.500 a 2.999 euros;3,0
Ambos sexos;Publicidad y relaciones públicas;De 3.000 euros en adelante;2,8
Ambos sexos;Comercio;Menos de 700 euros;1,8
Ambos sexos;Comercio;De 700 a 999 euros;14,7
Ambos sexos;Comercio;De 1.000 a 1.499 euros;31,7
Ambos sexos;Comercio;De 1.500 a 1.999 euros;34,4
Ambos sexos;Comercio;De 2.000 a 2.499 euros;10,0
Ambos sexos;Comercio;De 2.500 a 2.999 euros;4,2
Ambos sexos;Comercio;De 3.000 euros en adelante;3,2
Ambos sexos;Derecho;Menos de 700 euros;7,1
Ambos sexos;Derecho;De 700 a 999 euros;8,3
Ambos sexos;Derecho;De 1.000 a 1.499 euros;29,0
Ambos sexos;Derecho;De 1.500 a 1.999 euros;25,2
Ambos sexos;Derecho;De 2.000 a 2.499 euros;15,4
Ambos sexos;Derecho;De 2.500 a 2.999 euros;7,2
Ambos sexos;Derecho;De 3.000 euros en adelante;7,9
Ambos sexos;Biología;Menos de 700 euros;6,5
Ambos sexos;Biología;De 700 a 999 euros;17,0
Ambos sexos;Biología;De 1.000 a 1.499 euros;48,6
Ambos sexos;Biología;De 1.500 a 1.999 euros;17,2
Ambos sexos;Biología;De 2.000 a 2.499 euros;7,7
Ambos sexos;Biología;De 2.500 a 2.999 euros;3,0
Ambos sexos;Biología;De 3.000 euros en adelante;0,0
Ambos sexos;Bioquímica;Menos de 700 euros;5,3
Ambos sexos;Bioquímica;De 700 a 999 euros;5,5
Ambos sexos;Bioquímica;De 1.000 a 1.499 euros;49,4
Ambos sexos;Bioquímica;De 1.500 a 1.999 euros;30,9
Ambos sexos;Bioquímica;De 2.000 a 2.499 euros;5,6
Ambos sexos;Bioquímica;De 2.500 a 2.999 euros;0,5
Ambos sexos;Bioquímica;De 3.000 euros en adelante;2,8
Ambos sexos;Biotecnología;Menos de 700 euros;1,7
Ambos sexos;Biotecnología;De 700 a 999 euros;3,1
Ambos sexos;Biotecnología;De 1.000 a 1.499 euros;54,2
Ambos sexos;Biotecnología;De 1.500 a 1.999 euros;25,6
Ambos sexos;Biotecnología;De 2.000 a 2.499 euros;11,3
Ambos sexos;Biotecnología;De 2.500 a 2.999 euros;4,1
Ambos sexos;Biotecnología;De 3.000 euros en adelante;0,0
Ambos sexos;Biomedicina;Menos de 700 euros;2,6
Ambos sexos;Biomedicina;De 700 a 999 euros;4,4
