Sexo;Titulación;Nivel de formación más apropiado para realizar su trabajo;Total
Ambos sexos;Administración y empresa;ESO, EGB, etc ...;3,3
Ambos sexos;Ciencias del trabajo;Doctorado;1,5
Ambos sexos;Ciencias del trabajo;Máster;10,6
Ambos sexos;Ciencias del trabajo;Título universitario (excepto doctorado o máster);54,6
Ambos sexos;Ciencias del trabajo;Formación profesional de grado superior;12,4
Ambos sexos;Ciencias del trabajo;Formación profesional de grado medio / bachillerato;11,7
Ambos sexos;Ciencias del trabajo;Formación profesional básica;3,3
Ambos sexos;Ciencias del trabajo;ESO, EGB, etc ...;5,8
Ambos sexos;Gestión y administración pública;Doctorado;0,0
Ambos sexos;Gestión y administración pública;Máster;8,7
Ambos sexos;Gestión y administración pública;Título universitario (excepto doctorado o máster);32,4
Ambos sexos;Gestión y administración pública;Formación profesional de grado superior;24,7
Ambos sexos;Gestión y administración pública;Formación profesional de grado medio / bachillerato;13,2
Ambos sexos;Gestión y administración pública;Formación profesional básica;7,9
Ambos sexos;Gestión y administración pública;ESO, EGB, etc ...;13,1
Ambos sexos;Marketing;Doctorado;0,0
Ambos sexos;Marketing;Máster;22,0
Ambos sexos;Marketing;Título universitario (excepto doctorado o máster);60,6
Ambos sexos;Marketing;Formación profesional de grado superior;10,6
Ambos sexos;Marketing;Formación profesional de grado medio / bachillerato;3,2
Ambos sexos;Marketing;Formación profesional básica;3,3
Ambos sexos;Marketing;ESO, EGB, etc ...;0,2
Ambos sexos;Protocolo y eventos;Doctorado;0,0
Ambos sexos;Protocolo y eventos;Máster;13,1
Ambos sexos;Protocolo y eventos;Título universitario (excepto doctorado o máster);48,0
Ambos sexos;Protocolo y eventos;Formación profesional de grado superior;28,2
Ambos sexos;Protocolo y eventos;Formación profesional de grado medio / bachillerato;7,5
Ambos sexos;Protocolo y eventos;Formación profesional básica;3,2
Ambos sexos;Protocolo y eventos;ESO, EGB, etc ...;0,0
Ambos sexos;Publicidad y relaciones públicas;Doctorado;1,2
Ambos sexos;Publicidad y relaciones públicas;Máster;14,5
Ambos sexos;Publicidad y relaciones públicas;Título universitario (excepto doctorado o máster);55,7
Ambos sexos;Publicidad y relaciones públicas;Formación profesional de grado superior;14,2
Ambos sexos;Publicidad y relaciones públicas;Formación profesional de grado medio / bachillerato;8,4
Ambos sexos;Publicidad y relaciones públicas;Formación profesional básica;2,1
Ambos sexos;Publicidad y relaciones públicas;ESO, EGB, etc ...;3,8
Ambos sexos;Comercio;Doctorado;0,0
Ambos sexos;Comercio;Máster;14,9
Ambos sexos;Comercio;Título universitario (excepto doctorado o máster);62,4
Ambos sexos;Comercio;Formación profesional de grado superior;10,4
Ambos sexos;Comercio;Formación profesional de grado medio / bachillerato;5,6
Ambos sexos;Comercio;Formación profesional básica;2,2
Ambos sexos;Comercio;ESO, EGB, etc ...;4,6
Ambos sexos;Derecho;Doctorado;1,3
Ambos sexos;Derecho;Máster;28,6
Ambos sexos;Derecho;Título universitario (excepto doctorado o máster);52,1
Ambos sexos;Derecho;Formación profesional de grado superior;6,6
Ambos sexos;Derecho;Formación profesional de grado medio / bachillerato;6,6
Ambos sexos;Derecho;Formación profesional básica;2,0
Ambos sexos;Derecho;ESO, EGB, etc ...;2,8
Ambos sexos;Biología;Doctorado;8,5
Ambos sexos;Biología;Máster;38,6
Ambos sexos;Biología;Título universitario (excepto doctorado o máster);25,0
Ambos sexos;Biología;Formación profesional de grado superior;11,4
Ambos sexos;Biología;Formación profesional de grado medio / bachillerato;5,8
Ambos sexos;Biología;Formación profesional básica;3,2
Ambos sexos;Biología;ESO, EGB, etc ...;7,6
Ambos sexos;Bioquímica;Doctorado;11,1
Ambos sexos;Bioquímica;Máster;42,7
Ambos sexos;Bioquímica;Título universitario (excepto doctorado o máster);30,7
Ambos sexos;Bioquímica;Formación profesional de grado superior;9,8
Ambos sexos;Bioquímica;Formación profesional de grado medio / bachillerato;2,5
Ambos sexos;Bioquímica;Formación profesional básica;0,5
Ambos sexos;Bioquímica;ESO, EGB, etc ...;2,9
Ambos sexos;Biotecnología;Doctorado;14,4
Ambos sexos;Biotecnología;Máster;57,5
Ambos sexos;Biotecnología;Título universitario (excepto doctorado o máster);20,4
Ambos sexos;Biotecnología;Formación profesional de grado superior;7,2
Ambos sexos;Biotecnología;Formación profesional de grado medio / bachillerato;0,6
Ambos sexos;Biotecnología;Formación profesional básica;0,0
Ambos sexos;Biotecnología;ESO, EGB, etc ...;0,0
Ambos sexos;Biomedicina;Doctorado;34,5
Ambos sexos;Biomedicina;Máster;43,4
Ambos sexos;Biomedicina;Título universitario (excepto doctorado o máster);19,8
Ambos sexos;Biomedicina;Formación profesional de grado superior;1,1
Ambos sexos;Biomedicina;Formación profesional de grado medio / bachillerato;0,6
Ambos sexos;Biomedicina;Formación profesional básica;0,0
Ambos sexos;Biomedicina;ESO, EGB, etc ...;0,6
Ambos sexos;Ciencias ambientales;Doctorado;3,7
Ambos sexos;Ciencias ambientales;Máster;26,2
Ambos sexos;Ciencias ambientales;Título universitario (excepto doctorado o máster);40,5
Ambos sexos;Ciencias ambientales;Formación profesional de grado superior;9,8
Ambos sexos;Ciencias ambientales;Formación profesional de grado medio / bachillerato;10,8
Ambos sexos;Ciencias ambientales;Formación profesional básica;4,0
Ambos sexos;Ciencias ambientales;ESO, EGB, etc ...;5,1
Ambos sexos;Química;Doctorado;10,7
Ambos sexos;Química;Máster;30,9
